"artifact","field","locale","occurrences","scalar_utf8_bytes","types","source_candidates_not_usage_proof"
"src/lib/generated/catalogs/relic-properties.json","[].canBeSubStat","neutral","21","93","boolean","src/lib/domain/types.ts;scripts/data/sync.ts;scripts/data/validate.ts;tests/unit/data.test.ts"
"src/lib/generated/catalogs/relics.json","[].id","neutral","60","300","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;... 117 candidate files"
"src/lib/generated/catalogs/relics.json","[].name","localized","60","1366","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;... 110 candidate files"
"src/lib/generated/catalogs/relics.json","[].description","localized","60","10129","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/mechanics/BuffOptionTile.svelte;src/lib/components/endgame/mechanics/MechanicEntry.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte;... 47 candidate files"
"src/lib/generated/catalogs/relics.json","[].version","neutral","60","300","string","src/lib/components/relic/RelicDetailPage.svelte;src/lib/domain/enemy-view.ts;src/lib/domain/types.ts;src/routes/sitemap.xml/+server.ts;scripts/assets/enemies/ensure.ts;scripts/assets/enemies/shared.ts;scripts/assets/enemies/sync.ts;scripts/data/sync.ts;... 11 candidate files"
"src/lib/generated/catalogs/relics.json","[].category","neutral","60","480","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;src/lib/components/endgame/EndgameSeasonCard.svelte;src/lib/components/endgame/EndgameSeasonHero.svelte;src/lib/components/EnemyCatalogPage.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/RelicCatalogPage.svelte;... 29 candidate files"
"src/lib/generated/catalogs/relics.json","[].effectRequirements.[]","neutral","92","92","number","src/lib/domain/types.ts;scripts/data/sync.ts;scripts/data/validate.ts;tests/unit/relic-filters.test.ts"
"src/lib/generated/catalogs/relics.json","[].type","neutral","60","480","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DescriptionText.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;... 174 candidate files"
"src/lib/generated/catalogs/relics.json","[].typeName","localized","60","840","string","src/lib/components/relic/RelicDetailPage.svelte;src/lib/domain/enemy-view.ts;src/lib/domain/types.ts;scripts/data/sync.ts"
"src/lib/generated/details/characters/*","id","neutral","97","582","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;... 117 candidate files"
